Medical condition,Sensory losses,Foot issues,Footwear issues,Mental cognitive,Toileting habits,Nutritional factors,Assisted mobility,Balance problems,Environmental,medicine,Walking aids,ADL,History,Transferring,Fear,Gait Abnormalities
cancer,poor vision,bunion,,wanderer,,,help in standing,unsteady walk,unsecured bathtube,lunesta,,walking slow,,,,gait abnormality
liver disease,ocular tumor,swollen ankle,,cognitive decline,,,help in stand,,poor bed,zaleplon,,waking slowly,,,,gait issue
giddiness,poor eyesight,swollen feet,,cognitively,,,help in sitting,,poor mate,sonata,,pysical activity,,,,gait problem
dizzy,lacks insight,swollen foot,,forgetfulness,,,help in sit,,poor rugs,codeine,,slow walk,,,,unstable gait
asthma,lack insight,corns,,hallucinating,,,assistance in walk,,poor stairway,pca/opiates,,fast walk,,,,
viral lower respiratory tract infection,hear impairment,painful feet,,delusional,,,help in move,,poor disrepair,oxycodone,,walking fast,,,,
aspiration pneumonia,multifocal lense,painful foot,,acute brain syndrome,,,,,obstructed walkways,percodan,,taking stair,,,,
pneumonia,,fallen arches,,alzheimer,,,,,walkways,percocet,,,,,,
chronic obstructive pulmonary disease,,toe deformitie,,,,,,,uneven floors,hydrocodone,,,,,,
copd,,claw toe,,,,,,,walkway,vicodin,,,,,,
chronic tonsils,,mallet toe,,,,,,,unstable chair,alprazolam,,,,,,
adenoids,,hammer toe,,,,,,,low back chair,chlordiazepoxide,,,,,,
type 2 respiratory failure,,toe infection,,,,,,,low toilet seat,clonazepam,,,,,,
bilateral pleural effusion,,painful corn,,,,,,,uneven pathway,clorazepate dipotassium,,,,,,
pleural effusion,,painful corns,,,,,,,pother,diazepam,,,,,,
bibasal atelectasis,,bunions,,,,,,,unsecured door,flurazepam,,,,,,
bibasilar atelectasis,,swollen ankles,,,,,,,unsecured toilet,halazepam,,,,,,
community acquired pneumonia,,swollen feet,,,,,,,unsecured floor,lorazepam,,,,,,
neurosyphilis,,fallen arches,,,,,,,low toilte,midazolam,,,,,,
neuropathic,,feet swelling,,,,,,,broken chair,oxazepam,,,,,,
cerebritis,,foot swelling,,,,,,, broken toilet,triazolam,,,,,,
concussion,,ankle swelling,,,,,,,broken door,cardamazepine,,,,,,
epilepsy,,swelling feet,,,,,,,broken bed,divolproex sodium,,,,,,
epileptic,,Gordon,,,,,,, broken stair,ethotoin,,,,,,
als,,Gordon,,,,,,, broken laider,ethosuximide,,,,,,
ventricular failure,,toe infection,,,,,,,poor rug,felbamate,,,,,,
cardioversion,,slip sock,,,,,,,loose bed,fosphenytoin,,,,,,
congestive cardiac failure,,swollen ankles / feet,,,,,,,loose chair,gabapentin,,,,,,
ccf,,swollen ankles,,,,,,,loose bathtub,lamotrigine,,,,,,
venous ulcers,,fallen arches,,,,,,,loose carpet,mephenytoin,,,,,,
non-st-segment elevation myocardial infarction,,toe deformities,,,,,,,wet floors,methsuximide,,,,,,
nstemi,,call bell,,,,,,,wet door,phenobarbital,,,,,,
acute coronary syndrome,,impulse,,,,,,,wet bathtub,phenytoin,,,,,,
acs,,Impulsivenes,,,,,,, unstable bed,primidone,,,,,,
st-segment elevation myocardial infarction,,swollen foot,,,,,,,unstable door,topiramate,,,,,,
stemi,,corn,,,,,,,unstable floor,trimethadione,,,,,,
rapid af,,fallen arches,,,,,,,tripped over a rug,valproic acid  ,,,,,,
atrial fibrillation,,toe deformitie,,,,,,,over a rug,,,,,,,
heart failure,,toe deformities,,,,,,,obstacle,,,,,,,
bradycardia,,claw toe,,,,,,,,,,,,,,
cardiomyopathy,,mallet toe,,,,,,,,,,,,,,
myocardial,,hammer toe,,,,,,,,,,,,,,
heartblock,,corn of toe,,,,,,,,,,,,,,
cardiac diseases,,reduced ankle,,,,,,,,,,,,,,
cardiopathy,,feet pain,,,,,,,,,,,,,,
cardiac,,,,,,,,,,,,,,,,
morbus cordis,,,,,,,,,,,,,,,,
prosthetic joint infection,,,,,,,,,,,,,,,,
septic arthritis,,,,,,,,,,,,,,,,
joint inflammation,,,,,,,,,,,,,,,,
inflammatory arthritis,,,,,,,,,,,,,,,,
hyperglycemia,,,,,,,,,,,,,,,,
low blood sugar,,,,,,,,,,,,,,,,
hypoglycemic,,,,,,,,,,,,,,,,
hypoglycaemia,,,,,,,,,,,,,,,,
hypoglycemia,,,,,,,,,,,,,,,,
bsl,,,,,,,,,,,,,,,,
low bsl,,,,,,,,,,,,,,,,
dka,,,,,,,,,,,,,,,,
diabetic ketoacidosis,,,,,,,,,,,,,,,,
parkinsonian,,,,,,,,,,,,,,,,
parkinsons,,,,,,,,,,,,,,,,
parkinson,,,,,,,,,,,,,,,,
oedema,,,,,,,,,,,,,,,,
deep vein thrombosis,,,,,,,,,,,,,,,,
aorta disease ,,,,,,,,,,,,,,,,
aorta,,,,,,,,,,,,,,,,
peripheral arterial ,,,,,,,,,,,,,,,,
nec,,,,,,,,,,,,,,,,
venous ulcers,,,,,,,,,,,,,,,,
liver failure,,,,,,,,,,,,,,,,
head injury,,,,,,,,,,,,,,,,
heart failure,,,,,,,,,,,,,,,,
parkinson disease,,,,,,,,,,,,,,,,
